id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	4	64	64	105	21	5	41	20	0
4	2	142	142	176	11	23	34	23	0
5	4	160	160	186	22	0	26	4	0
3	15	69	69	198	68	7	129	61	0
1	16	0	0	207	80	14	207	127	0
6	1	215	215	222	7	0	7	0	0
7	0	266	266	276	5	0	10	5	0
8	1	270	270	280	9	0	10	1	0
9	1	334	334	355	13	3	21	8	0
11	2	373	373	382	9	0	9	0	0
10	5	336	336	391	26	16	55	29	0
13	3	537	537	562	18	0	25	7	0
12	4	528	528	602	20	39	74	54	0
14	2	742	742	753	11	0	11	0	0
15	0	836	836	858	8	14	22	14	0
16	1	916	916	923	7	0	7	0	0
18	3	1116	1116	1132	16	0	16	0	0
17	8	1100	1100	1154	36	2	54	18	0
19	12	1197	1197	1258	61	0	61	0	0
20	0	1357	1357	1358	1	0	1	0	0
22	0	1379	1379	1381	2	0	2	0	0
21	4	1366	1366	1389	21	0	23	2	0
24	5	1495	1495	1551	31	25	56	25	0
23	8	1468	1468	1562	37	30	94	57	0
25	0	1640	1640	1643	3	0	3	0	0
0	0	0	0	1643	1100	0	1643	543	0
